kelas,hari,sesi,mata_kuliah
1IA08,senin,2,ada
1IA08,senin,3,ada
1IA08,senin,4,
1IA08,selasa,0,ada
1IA08,selasa,1,ada
1IA08,selasa,2,ada
1IA08,selasa,3,ada
1IA08,selasa,4,
1IA08,rabu,0,ada
1IA08,rabu,1,ada
1IA08,rabu,2,ada
1IA08,rabu,3,
1IA08,rabu,4,
1IA08,kamis,0,
1IA08,kamis,1,ada
1IA08,kamis,2,ada
1IA08,kamis,3,ada
1IA08,kamis,4,
1IA08,jumat,0,
1IA08,jumat,1,
1IA08,jumat,2,ada
1IA08,jumat,3,ada
1IA08,jumat,4,
1IA08,sabtu,0,
1IA08,sabtu,1,
1IA08,sabtu,2,
1IA08,sabtu,3,
1IA08,sabtu,4,
1IA09,senin,0,
1IA09,senin,1,ada
1IA09,senin,2,ada
1IA09,senin,3,ada
1IA09,senin,4,
1IA09,selasa,0,ada
1IA09,selasa,1,ada
1IA09,selasa,2,ada
1IA09,selasa,3,ada
1IA09,selasa,4,
1IA09,rabu,0,
1IA09,rabu,1,ada
1IA09,rabu,2,ada
1IA09,rabu,3,ada
1IA09,rabu,4,
1IA09,kamis,0,
1IA09,kamis,1,
1IA09,kamis,2,ada
1IA09,kamis,3,ada
1IA09,kamis,4,
1IA09,jumat,0,
1IA09,jumat,1,ada
1IA09,jumat,2,ada
1IA09,jumat,3,ada
1IA09,jumat,4,
1IA09,sabtu,0,
1IA09,sabtu,1,
1IA09,sabtu,2,
1IA09,sabtu,3,
1IA09,sabtu,4,
1IA10,senin,0,ada
1IA10,senin,1,ada
1IA10,senin,2,ada
1IA10,senin,3,
1IA10,senin,4,
1IA10,selasa,0,ada
1IA10,selasa,1,ada
1IA10,selasa,2,ada
1IA10,selasa,3,
1IA10,selasa,4,
1IA10,rabu,0,ada
1IA10,rabu,1,ada
1IA10,rabu,2,ada
1IA10,rabu,3,
1IA10,rabu,4,
1IA10,kamis,0,
1IA10,kamis,1,
1IA10,kamis,2,
1IA10,kamis,3,
1IA10,kamis,4,
1IA10,jumat,0,ada
1IA10,jumat,1,ada
1IA10,jumat,2,ada
1IA10,jumat,3,ada
1IA10,jumat,4,
1IA10,sabtu,0,ada
1IA10,sabtu,1,ada
1IA10,sabtu,2,ada
1IA10,sabtu,3,
1IA10,sabtu,4,
1IA11,senin,0,ada
1IA11,senin,1,ada
1IA11,senin,2,ada
1IA11,senin,3,ada
1IA11,senin,4,
1IA11,selasa,0,
1IA11,selasa,1,ada
1IA11,selasa,2,ada
1IA11,selasa,3,ada
1IA11,selasa,4,
1IA11,rabu,0,
1IA11,rabu,1,ada
1IA11,rabu,2,ada
1IA11,rabu,3,ada
1IA11,rabu,4,
1IA11,kamis,0,ada
1IA11,kamis,1,ada
1IA11,kamis,2,ada
1IA11,kamis,3,ada
1IA11,kamis,4,
1IA11,jumat,0,ada
1IA11,jumat,1,ada
1IA11,jumat,2,ada
1IA11,jumat,3,
1IA11,jumat,4,
1IA11,sabtu,0,
1IA11,sabtu,1,
1IA11,sabtu,2,
1IA11,sabtu,3,
1IA11,sabtu,4,
1IA12,senin,0,ada
1IA12,senin,1,ada
1IA12,senin,2,ada
1IA12,senin,3,ada
1IA12,senin,4,
1IA12,selasa,0,ada
1IA12,selasa,1,ada
1IA12,selasa,2,ada
1IA12,selasa,3,ada
1IA12,selasa,4,ada
1IA12,rabu,0,
